% Each line is in the format: GroupName AtomType Volume DGi(ref) DGi(free) DHi(ref) DCpi(ref) vdWradius Siyu(05/03/17): add some new parameters (last 6 lines) based on KARPLUS 1999, Makhatadze 1993 and Lepori 1981
C     C  14.7    0.000    0.00    0.000    0.00  3.5  2.1
CR    C   8.3   -0.890   -1.40    2.220    6.90  3.5  2.1
CH1E  C  23.7   -0.187   -0.25    0.876    0.00  3.5  2.365
CH2E  C  22.4    0.372    0.52   -0.610   18.60  3.5  2.235
CH3E  C  30.0    1.089    1.50   -1.779   35.60  3.5  2.165
CR1E  C  18.4    0.057    0.08   -0.973    6.90  3.5  2.1
NH1   N   4.4   -5.950   -8.90   -9.059   -8.80  3.5  1.6
NR    N   4.4   -3.820   -4.00   -4.654   -8.80  3.5  1.6
NH2   N  11.2   -5.450   -7.80   -9.028   -7.00  3.5  1.6
NH3   N  11.2  -20.000  -20.00  -25.000  -18.00  6.0  1.6
NC2   N  11.2  -10.000  -10.00  -12.000   -7.00  6.0  1.6
N     N   0.0   -1.000   -1.55   -1.250    8.80  3.5  1.6
OH1   O  10.8   -5.920   -6.70   -9.264  -11.20  3.5  1.6
O     O  10.8   -5.330   -5.85   -5.787   -8.80  3.5  1.6
OC    O  10.8  -10.000  -10.00  -12.000   -9.40  6.0  1.6
S     S  14.7   -3.240   -4.10   -4.475  -39.90  3.5  1.89
SH1E  S  21.4   -2.050   -2.70   -4.475  -39.90  3.5  1.89
OA    O  10.8   -3.569   -4.40  -14.761  -12.40  3.5  1.6
CL    Cl 16.0   -1.535   -2.20   -1.449   -8.46  3.5  1.75
ON    O  10.8   -0.928   -1.10   -1.000   -5.00  3.5  1.6
NO    N  11.2    0.000    0.00    0.000    0.00  3.5  1.6
NC    N  11.2   -4.778   -6.00   -4.415  -10.00  3.5  1.6
F     F  12.6   -1.428   -2.00   -0.400   -0.10  3.5  1.65
