K01 5 39
N CA CB CG
CA CB CG CD
CB CG CD CE
CG CD CE NZ
CD CE NZ CH
62 180 68 180 -120
62 180 68 180 120
62 180 68 180 180
62 180 180 65 -120
62 180 180 65 120
62 180 180 65 180
62 180 180 180 -120
62 180 180 180 120
62 180 180 180 180
62 180 180 -65 -120
62 180 180 -65 120
62 180 180 -65 180
62 180 -68 180 -120
62 180 -68 180 120
62 180 -68 180 180
-177 68 180 65 -120
-177 180 180 -65 120
-177 180 180 -65 180
-90 68 180 180 120
-90 68 180 180 180
-67 180 68 65 120
-67 180 68 180 -120
-67 180 68 180 120
-67 180 68 180 180
-67 180 180 65 -120
-67 180 180 65 120
-67 180 180 65 180
-67 180 180 180 -120
-67 180 180 180 120
-67 180 180 180 180
-67 180 180 -65 -120
-67 180 180 -65 120
-67 180 180 -65 180
-67 180 -68 180 -120
-67 180 -68 180 120
-67 180 -68 180 180
-67 180 -68 -65 -120
-67 180 -68 -65 120
-67 180 -68 -65 180
